SNO,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
21,-0.63636363636363624,-0.40389972144846809,-0.65749235474006129,0.88311688311688585,0.28205128205128216,-0.74712643678160928,-0.65000000000000013,-0.75033921302578022,-0.18234147102410103
22,-0.57366771159874608,-0.37047353760445689,-0.65749235474006129,0.85064935064935332,0.0,-0.60919540229885061,-0.3666666666666667,-0.44911804613297135,-0.32902269713750865
23,-0.6426332288401253,-0.35376044568245146,-0.60856269113149852,0.82467532467532889,0.25641025641025639,-0.60919540229885061,-0.47499999999999998,-0.64993215739484389,-0.43556664846735826
24,-0.55485893416927901,-0.32033426183844027,-0.5718654434250765,0.73376623376623917,0.076923076923076872,-0.63218390804597702,-0.43333333333333335,-0.55495251017639058,-0.43644021527181953
25,-0.57993730407523503,-0.30362116991643462,-0.59021406727828751,0.72077922077922341,0.12820512820512819,-0.72413793103448287,-0.80000000000000004,-0.75033921302578022,-0.36490133374931777
26,-0.53605015673981193,-0.24791086350974945,-0.59021406727828751,0.64285714285714235,0.20512820512820507,-0.74712643678160928,-0.77500000000000002,-0.55495251017639058,-0.065595507370719952
27,-0.49216300940438873,-0.18662952646239583,-0.62079510703363916,0.72077922077922341,0.30769230769230771,-0.81609195402298851,-0.95833333333333337,-0.95658073270013566,-0.063895171983464616
28,-0.47962382445141061,-0.32590529247910882,-0.56574923547400613,0.74025974025973995,0.33333333333333326,-0.90804597701149425,-0.8666666666666667,-0.84531886024423342,0.19034396692925659
29,-0.47335423197492155,-0.20891364902506981,-0.53516819571865448,0.68181818181818277,0.53846153846153855,-0.90804597701149425,-0.84999999999999998,-0.84531886024423342,0.23890492161297838
30,-0.3918495297805642,-0.20891364902506981,-0.2660550458715597,0.66883116883117433,0.51282051282051277,-0.86206896551724133,-0.92500000000000004,-0.79647218453188595,0.040074877154667954
31,-0.24137931034482762,-0.080779944289693706,-0.41896024464831805,0.54545454545454475,0.10256410256410264,-0.67816091954022983,-0.89166666666666672,-0.84531886024423342,-0.33612042742375792
32,-0.31661442006269591,-0.47075208913649036,-0.082568807339449601,0.49350649350649567,0.48717948717948723,-0.67816091954022983,-0.16666666666666663,-0.55495251017639058,-0.3841042040402467
33,-0.36677115987460818,-0.47075208913649036,-0.17431192660550465,0.61038961038960982,0.87179487179487181,-0.7931034482758621,-0.23333333333333339,-0.44911804613297135,-0.71373527805943382
34,-0.3918495297805642,-0.34261838440111425,-0.24159021406727832,0.75974025974026382,0.48717948717948723,-0.56321839080459779,-0.34166666666666667,-0.44911804613297135,-0.804539427501755
35,-0.49843260188087768,-0.34261838440111425,-0.42507645259938842,0.74675324675324783,0.30769230769230771,-0.42528735632183912,-0.25,-0.55495251017639058,-0.804539427501755
36,-0.49216300940438873,-0.33704735376044581,-0.48623853211009171,0.66233766233766622,0.28205128205128216,-0.63218390804597702,-0.125,-0.44911804613297135,-0.6585289758989159
37,-0.48589341692789956,-0.28690807799442908,-0.48012232415902145,0.64285714285714235,0.17948717948717952,-0.56321839080459779,-0.2583333333333333,-0.55495251017639058,-0.6210903985648546
38,-0.46081504702194354,-0.22562674094707547,-0.56574923547400613,0.66233766233766622,0.33333333333333326,-0.7931034482758621,-0.7416666666666667,-0.75033921302578022,-0.21675376335699248
39,-0.42946708463949845,-0.2200557103064068,-0.48012232415902145,0.6168831168831177,0.28205128205128216,-0.67816091954022983,-0.58333333333333326,-0.64993215739484389,-0.28788706029170896
40,-0.41692789968652033,-0.2200557103064068,-0.41896024464831805,0.67532467532467488,0.28205128205128216,-0.67816091954022983,-0.40000000000000002,-0.75033921302578022,-0.43764136962795419
41,-0.32288401253918497,-0.13091922005571055,-0.37003058103975539,0.57792207792207728,0.076923076923076872,-0.60919540229885061,-0.47499999999999998,-0.64993215739484389,-0.51251852429607681
42,-0.27899686520376166,-0.058495821727019726,-0.37614678899082576,0.44805194805194715,0.02564102564102555,-0.44827586206896564,-0.6166666666666667,-0.75033921302578022,-0.53123781296310746
43,-0.26645768025078365,-0.253481894150418,-0.22324159021406742,0.27922077922078414,0.38461538461538458,-0.60919540229885061,-0.20000000000000007,-0.44911804613297135,-0.59737929958661584
44,-0.38557993730407525,-0.32033426183844027,-0.31498470948012247,0.55844155844156074,0.53846153846153855,-0.67816091954022983,-0.54166666666666674,-0.55495251017639058,-0.79533577724046478
45,-0.35423197492163017,-0.23676880222841246,-0.38226299694189614,0.64285714285714235,0.51282051282051277,-0.74712643678160928,-0.60000000000000009,-0.44911804613297135,-0.50128695109585841
46,-0.20376175548589337,-0.047353760445682735,-0.25993883792048933,0.56493506493506862,0.35897435897435903,-0.67816091954022983,-0.54166666666666674,-0.75033921302578022,-0.54995710163013811
47,-0.13479623824451414,-0.036211699164345523,-0.082568807339449601,0.59740259740260115,0.28205128205128216,-0.72413793103448287,-0.125,-0.55495251017639058,-0.5611886748303565
48,-0.33542319749216298,-0.28690807799442908,-0.21712538226299694,0.65584415584415834,0.53846153846153855,-0.67816091954022983,-0.35833333333333339,-0.49253731343283569,-0.7558692769674753
49,-0.34796238244514099,-0.24791086350974945,-0.34556574923547412,0.79220779220779636,0.51282051282051277,-0.44827586206896564,-0.38333333333333341,-0.55495251017639058,-0.83449028936900405
50,-0.33542319749216298,-0.19777158774373282,-0.33944954128440363,0.74025974025973995,0.35897435897435903,-0.44827586206896564,-0.65000000000000013,-0.64993215739484389,-0.74838156150066304
51,-0.3040752351097179,-0.069637883008356716,-0.40061162079510704,0.54545454545454475,0.33333333333333326,-0.72413793103448287,-0.6333333333333333,-0.64993215739484389,-0.71094298416660173
52,-0.13479623824451414,0.036211699164345079,-0.070336391437308965,0.50649350649351166,0.051282051282051322,-0.49425287356321856,-0.6166666666666667,-0.64993215739484389,-0.77193666640667646
53,-0.19749216300940442,0.036211699164345079,-0.21712538226299694,0.67532467532467488,-0.076923076923076872,-0.51724137931034497,0.058333333333333348,-0.55495251017639058,-0.70345526869978947
54,-0.27272727272727271,-0.091922005571030696,-0.25382262996941907,0.61038961038960982,-0.15384615384615385,-0.60919540229885061,1.0,-0.14246947082767958,-0.927306762343031
55,-0.22257053291536044,-0.052924791086351175,-0.28440366972477071,0.61038961038960982,-0.051282051282051322,-0.44827586206896564,0.35833333333333339,-0.25373134328358193,-0.99953201778332423
56,-0.24137931034482762,0.0027855153203339977,-0.18654434250764529,0.60389610389610926,0.23076923076923084,-0.49425287356321856,-0.41666666666666663,-0.34871099050203513,-0.99984400592777478
57,-0.14733542319749215,0.13091922005571011,-0.27217125382262997,0.57142857142857673,-0.051282051282051322,-0.60919540229885061,-0.47499999999999998,-0.64993215739484389,-1.0
58,-0.097178683385579889,0.16434540389972119,-0.28440366972477071,0.6233766233766258,0.051282051282051322,-0.67816091954022983,-0.67500000000000004,-0.75033921302578022,-0.88830824428671717
59,-0.059561128526645635,0.16434540389972119,-0.16819571865443439,0.59740259740260115,0.051282051282051322,-0.60919540229885061,-0.38333333333333341,-0.44911804613297135,-0.58739567896419942
60,0.0031347962382446415,0.15877437325905275,-0.039755351681957318,0.55194805194805285,0.051282051282051322,-0.44827586206896564,-0.35833333333333339,-0.49253731343283569,-0.61360268309804233
61,-0.0031347962382444194,0.22562674094707491,-0.16207951070336402,0.50000000000000377,-0.076923076923076872,-0.51724137931034497,-0.54166666666666674,-0.64993215739484389,-0.56867639029716877
62,0.090909090909090828,0.33704735376044526,-0.16819571865443439,0.18181818181818654,-0.17948717948717952,-0.60919540229885061,-0.65000000000000013,-0.55495251017639058,-0.54995710163013811
63,0.034482758620689724,0.33704735376044526,0.058103975535168217,0.08441558441558894,0.02564102564102555,-0.51724137931034497,-0.67500000000000004,-0.75033921302578022,-0.72217455736682012
64,0.090909090909090828,0.22005571030640647,0.027522935779816571,0.24675324675325161,0.25641025641025639,-0.72413793103448287,-0.89166666666666672,-0.84531886024423342,-0.41143436549411128
65,0.065830721003134807,0.21448467966573803,0.058103975535168217,0.27272727272727604,0.12820512820512819,-0.67816091954022983,-0.60000000000000009,-0.75033921302578022,-0.45636065829498484
66,0.078369905956113151,0.2924791086350973,-0.088685015290519975,0.22727272727272751,0.10256410256410264,-0.60919540229885061,-0.70833333333333326,-0.75033921302578022,-0.59113953669760555
67,0.0031347962382446415,0.2924791086350973,0.10703363914373099,0.40259740259740617,0.17948717948717952,-0.56321839080459779,-0.091666666666666674,-0.44911804613297135,-0.78582013883472435
68,0.028213166144200663,0.12534818941504167,-0.11926605504587162,0.59740259740260115,-0.12820512820512819,-0.42528735632183912,-0.47499999999999998,-0.64993215739484389,-0.71765072927228779
69,-0.028213166144200441,0.064066852367687721,-0.12538226299694188,0.59740259740260115,0.12820512820512819,-0.60919540229885061,-0.58333333333333326,-0.75033921302578022,-0.68099212229935269
70,0.040752351097178785,0.14763231197771565,-0.088685015290519975,0.50000000000000377,0.0,-0.49425287356321856,-0.25,-0.55495251017639058,-0.66976054909913429
71,0.090909090909090828,0.15320334261838409,0.027522935779816571,0.15584415584415456,0.02564102564102555,-0.56321839080459779,0.52500000000000013,-0.25373134328358193,-0.76741283831214413
72,0.12852664576802519,0.22005571030640647,0.094801223241590016,0.10389610389610549,0.20512820512820507,-0.51724137931034497,0.14166666666666661,-0.29715061058344627,-0.63980968723188525
73,0.28526645768025083,0.39275766016713054,0.08256880733944949,0.18181818181818654,-0.20512820512820518,-0.67816091954022983,-0.52500000000000013,-0.75033921302578022,-0.54621324389673198
74,0.22257053291536066,0.39275766016713054,0.094801223241590016,0.12337662337662203,-0.15384615384615385,-0.44827586206896564,-0.04166666666666663,-0.55495251017639058,-0.76710085016769369
75,0.16614420062695934,0.32033426183843994,0.17431192660550443,-0.032467532467532534,-0.12820512820512819,-0.60919540229885061,-0.23333333333333339,-0.44911804613297135,-0.77458856563450595
76,0.29780564263322917,0.39275766016713054,0.1804281345565748,0.045454545454548523,-0.12820512820512819,-0.60919540229885061,-0.20000000000000007,-0.55495251017639058,-0.67584431791591926
77,0.29153605015673989,0.39275766016713054,0.33333333333333326,0.22077922077921963,-0.10256410256410253,-0.60919540229885061,-0.125,-0.55495251017639058,-0.71843069963341399
78,0.065830721003134807,0.3649025069637879,0.08256880733944949,0.22727272727272751,-0.23076923076923073,-0.44827586206896564,0.29166666666666674,-0.44911804613297135,-0.81202714296856726
79,0.040752351097178785,0.10306406685236746,0.021406727828745975,0.11038961038961359,-0.15384615384615385,-0.60919540229885061,0.058333333333333348,-0.44911804613297135,-0.81202714296856726
80,0.078369905956113151,0.17548746518105829,0.021406727828745975,0.13636363636363802,-0.20512820512820518,-0.67816091954022983,-0.4916666666666667,-0.69877883310719136,-0.52749395522970133
81,0.084639498432601767,0.33147632311977704,-0.021406727828746308,0.15584415584415456,0.0,-0.49425287356321856,-0.38333333333333341,-0.49253731343283569,-0.68099212229935269
82,-0.084639498432601878,0.33147632311977704,0.039755351681957096,0.18181818181818654,0.38461538461538458,-0.60919540229885061,-0.56666666666666665,-0.55495251017639058,-0.9957881600499181
83,0.19122257053291536,0.33704735376044526,0.094801223241590016,0.11688311688312147,-0.33333333333333337,-0.56321839080459779,-0.66666666666666674,-0.69877883310719136,-0.91981904687621874
84,0.19749216300940464,0.45961002785515293,0.088685015290519864,0.13636363636363802,-0.25641025641025639,-0.63218390804597702,-0.2583333333333333,-0.64993215739484389,-0.949925902815693
85,0.15987460815047028,0.45961002785515293,0.11926605504587151,0.16883116883117055,-0.10256410256410253,-0.42528735632183912,-0.27500000000000002,-0.55495251017639058,-0.92715076827080578
86,0.23510971786833879,0.28690807799442863,0.12538226299694166,0.071428571428572951,-0.51282051282051277,-0.42528735632183912,0.050000000000000044,-0.44911804613297135,-0.91030340847047819
87,0.2037617554858937,0.3036211699164344,0.14373088685015278,-0.0064935064935079945,-0.5641025641025641,-0.49425287356321856,0.26666666666666661,-0.34871099050203513,-0.81202714296856726
88,0.26645768025078387,0.3983286908077992,0.088685015290519864,-0.071428571428573062,-0.69230769230769229,-0.60919540229885061,0.033333333333333437,-0.34871099050203513,-0.67350440683254043
89,0.4357366771159874,0.51532033426183821,0.13149847094801204,-0.11038961038960615,-0.76923076923076916,-0.60919540229885061,-0.15000000000000002,-0.44911804613297135,-0.70345526869978947
90,0.41692789968652044,0.54317548746518085,0.2232415902140672,-0.051948051948049079,-0.5641025641025641,-0.44827586206896564,-0.54166666666666674,-0.64993215739484389,-0.61360268309804233
91,0.53605015673981193,0.55988857938718617,0.32721712538226289,-0.084415584415581613,-0.66666666666666674,-0.63218390804597702,-0.35833333333333339,-0.29715061058344627,-0.56867639029716877
92,0.46081504702194342,0.55988857938718617,0.35779816513761453,-0.01298701298700855,-0.64102564102564097,-0.44827586206896564,-0.47499999999999998,-0.64993215739484389,-0.92886670306528352
93,0.45454545454545481,0.51532033426183821,0.37003058103975506,-0.025974025974024539,-0.69230769230769229,-0.60919540229885061,-0.35833333333333339,-0.64993215739484389,-0.76413696279541377
94,0.42319749216300973,0.46518105849582159,0.4250764525993882,0.045454545454548523,-0.53846153846153844,-0.60919540229885061,-0.41666666666666663,-0.44911804613297135,-0.68099212229935269
95,0.45454545454545481,0.49303621169916423,0.30886850152905176,0.058441558441556962,-0.58974358974358976,-0.60919540229885061,-0.35833333333333339,-0.55495251017639058,-0.69222369549957108
96,0.35423197492163028,0.49303621169916423,0.33944954128440341,0.012987012987015989,-0.38461538461538458,-0.60919540229885061,-0.4916666666666667,-0.60379918588873815,-0.83449028936900405
97,0.36050156739811934,0.48189415041782691,0.22935779816513757,-0.1883116883116871,-0.33333333333333337,-0.60919540229885061,-0.5083333333333333,-0.64993215739484389,-0.61734654083144846
98,0.59874608150470232,0.69359331476323094,0.27217125382262997,-0.44155844155843926,-0.82051282051282048,-0.56321839080459779,-0.16666666666666663,-0.39755766621438249,-0.59862725216441781
99,0.40438871473354232,0.52089136490250687,0.33944954128440341,-0.33766233766233378,-0.74358974358974361,-0.42528735632183912,-0.43333333333333335,-0.64993215739484389,-0.77084470790109982
100,0.41065830721003138,0.55988857938718617,0.19266055045871555,-0.25974025974026016,-0.58974358974358976,-0.60919540229885061,-0.69166666666666665,-0.64993215739484389,-0.71843069963341399
101,0.42319749216300973,0.56545961002785483,0.24159021406727832,-0.25974025974026016,-0.64102564102564097,-0.51724137931034497,-0.66666666666666674,-0.75033921302578022,-0.59488339443101168
102,0.49843260188087779,0.60445682451253457,0.26605504587155937,-0.22727272727272763,-0.61538461538461542,-0.60919540229885061,-0.40000000000000002,-0.64993215739484389,-0.84587785664144755
103,0.29153605015673989,0.3036211699164344,0.27828746177370012,0.20779220779221097,-0.17948717948717952,-0.60919540229885061,-0.40000000000000002,-0.64993215739484389,-0.89111613758677177
104,0.3793103448275863,0.38161559888579366,0.31498470948012214,0.1948051948051952,-0.23076923076923073,-0.51724137931034497,-0.65000000000000013,-0.64993215739484389,-0.72591841510022626
105,0.46708463949843249,0.53760445682451219,0.37614678899082565,0.13636363636363802,-0.30769230769230771,-0.44827586206896564,-0.78333333333333333,-0.79647218453188595,-0.6098588253646362
106,0.53605015673981193,0.59888579387186591,0.41896024464831783,0.051948051948056406,-0.38461538461538458,-0.60919540229885061,-0.72499999999999998,-0.84531886024423342,-0.55744481709695037
107,0.46081504702194342,0.59888579387186591,0.48623853211009171,0.090909090909089496,-0.17948717948717952,-0.60919540229885061,-0.47499999999999998,-0.44911804613297135,-0.70751111457764604
108,0.57993730407523536,0.63788300835654588,0.51681957186544336,-0.12337662337662203,-0.5641025641025641,-0.60919540229885061,-0.35833333333333339,-0.55495251017639058,-0.86256922236955003
109,0.55485893416927889,0.63788300835654588,0.39449541284403655,-0.25974025974026016,-0.92307692307692313,-0.60919540229885061,-0.075000000000000067,-0.34871099050203513,-0.65478511816550977
110,0.46081504702194342,0.61559888579387145,0.32721712538226289,-0.39610389610389818,-0.79487179487179493,-0.60919540229885061,-0.033333333333333326,-0.39755766621438249,-0.4750799469620155
111,0.44827586206896575,0.58774373259052881,0.32110091743119273,-0.49350649350649567,-0.64102564102564097,-0.60919540229885061,-0.18333333333333346,-0.44911804613297135,-0.50877466656267067
112,0.55485893416927889,0.79387186629526441,0.21100917431192645,-0.51298701298701221,-0.5641025641025641,-0.60919540229885061,-0.81666666666666665,-0.75033921302578022,-0.62483425629826073
113,0.63636363636363646,0.79387186629526441,0.48623853211009171,-0.40909090909090673,-0.58974358974358976,-0.60919540229885061,-0.77500000000000002,-0.79647218453188595,-0.62857811403166686
114,0.64890282131661436,0.7715877437325902,0.5902140672782874,-0.35714285714285765,-0.35897435897435892,-0.60919540229885061,-0.72499999999999998,-0.84531886024423342,-0.56867639029716877
115,0.6426332288401253,0.7270194986072418,0.54740061162079501,-0.31818181818181712,-0.61538461538461542,-0.63218390804597702,-0.43333333333333335,-0.39755766621438249,-0.45636065829498484
116,0.72413793103448287,0.79387186629526441,0.44954128440366947,-0.35714285714285765,-0.79487179487179493,-0.60919540229885061,-0.2583333333333333,-0.55495251017639058,-0.41517822322751741
117,0.72413793103448287,0.79387186629526441,0.63914373088684995,-0.39610389610389818,-0.71794871794871795,-0.60919540229885061,-0.38333333333333341,-0.64993215739484389,-0.44887294282817258
118,0.69278996865203779,0.78830083565459552,0.54128440366972463,-0.43506493506493127,-0.64102564102564097,-0.60919540229885061,-0.18333333333333346,-0.55495251017639058,-0.60502300912565321
119,0.52978056426332287,0.71587743732590514,0.50458715596330261,-0.44805194805194726,-0.51282051282051277,-0.60919540229885061,0.19999999999999996,-0.44911804613297135,-0.64729740269869751
120,0.47962382445141083,0.46518105849582159,0.55351681957186516,-0.22077922077921963,-0.35897435897435892,-0.51724137931034497,-0.45000000000000007,-0.64993215739484389,-0.72217455736682012
121,0.52351097178683381,0.54874651810584929,0.41896024464831783,-0.20779220779220364,-0.41025641025641024,-0.60919540229885061,-0.7416666666666667,-0.75033921302578022,-0.62857811403166686
122,0.64890282131661436,0.67130919220055674,0.51070336391437299,-0.38311688311688219,-0.5641025641025641,-0.60919540229885061,-0.56666666666666665,-0.69877883310719136,-0.6098588253646362
123,0.50470219435736685,0.53760445682451219,0.51681957186544336,-0.39610389610389818,-0.33333333333333337,-0.60919540229885061,-0.84999999999999998,-0.84531886024423342,-0.52749395522970133
124,0.65517241379310343,0.7270194986072418,0.55351681957186516,-0.54545454545454475,-0.53846153846153844,-0.63218390804597702,-0.43333333333333335,-0.44911804613297135,-0.60237110989782394
125,0.68025078369905945,0.80501392757660173,0.54128440366972463,-0.45454545454545525,-0.71794871794871795,-0.60919540229885061,-0.29166666666666663,-0.44911804613297135,-0.53872552842991972
126,0.66144200626959249,0.86072423398328701,0.56574923547400613,-0.54545454545454475,-0.53846153846153844,-0.60919540229885061,-0.058333333333333459,0.25644504748982389,-0.49379923562904615
127,0.85579937304075249,0.93871866295264583,0.58409785932721681,-0.49999999999999634,-0.79487179487179493,-0.60919540229885061,0.21666666666666656,-0.29715061058344627,-0.62857811403166686
128,0.85579937304075249,0.93871866295264583,0.78593272171253803,-0.50649350649350433,-0.71794871794871795,-0.60919540229885061,-0.15000000000000002,-0.55495251017639058,-0.63980968723188525
129,0.89341692789968641,0.96657381615598847,0.71253822629969399,-0.50649350649350433,-0.87179487179487181,-0.60919540229885061,-0.033333333333333326,-0.34871099050203513,-0.65478511816550977
130,0.89341692789968641,0.96657381615598847,0.85321100917431192,-0.53246753246752876,-0.79487179487179493,-0.60919540229885061,0.43333333333333357,-0.25373134328358193,-0.56493253256376263
131,0.96238244514106563,1.0,0.92048929663608536,-0.65584415584415834,-0.79487179487179493,-0.60919540229885061,0.23333333333333317,-0.34871099050203513,-0.67350440683254043
132,0.93103448275862055,1.0,0.80428134556574915,-0.66883116883116689,-0.61538461538461542,-0.60919540229885061,-0.20000000000000007,-0.34871099050203513,-0.68099212229935269
133,0.94984326018808796,0.96100278551532026,0.86544342507645244,-0.5714285714285694,-0.71794871794871795,-0.60919540229885061,-0.20000000000000007,-0.44911804613297135,-0.60611496763123007
134,0.85579937304075249,0.88300835654596055,0.7920489296636084,-0.55194805194805274,-0.71794871794871795,-0.51724137931034497,-0.35833333333333339,-0.49253731343283569,-0.59488339443101168
135,0.81818181818181834,0.82729805013927527,0.84709480122324132,-0.49350649350649567,-0.48717948717948723,-0.60919540229885061,-0.35833333333333339,-0.49253731343283569,-0.65104126043210364
136,0.81818181818181834,0.84958217270194969,0.7737003058103975,-0.46103896103896325,-0.61538461538461542,-0.63218390804597702,-0.32500000000000007,-0.44911804613297135,-0.6585289758989159
137,0.77429467084639492,0.84958217270194969,0.70030581039755346,-0.49999999999999634,-0.71794871794871795,-0.60919540229885061,-0.45833333333333337,-0.60379918588873815,-0.64355354496529138
138,0.70532915360501547,0.83844011142061259,0.70030581039755346,-0.51948051948052032,-0.71794871794871795,-0.60919540229885061,-0.34166666666666667,-0.49253731343283569,-0.71858669370563932
139,0.69278996865203779,0.71587743732590514,0.51681957186544336,-0.5259740259740282,-0.33333333333333337,-0.60919540229885061,-0.15000000000000002,-0.55495251017639058,-0.73714998830044465
140,0.58620689655172398,0.71587743732590514,0.63302752293577957,-0.31818181818181712,0.02564102564102555,-0.60919540229885061,0.091666666666666563,-0.49253731343283569,-0.86444115123625309
141,0.61755485893416928,0.59888579387186591,0.62691131498470942,-0.38311688311688219,0.076923076923076872,-0.51724137931034497,0.074999999999999956,-0.44911804613297135,-0.83823414710241018
142,0.72413793103448287,0.69916434540389916,0.76146788990825676,-0.4675324675324638,-0.025641025641025661,-0.60919540229885061,-0.125,-0.60379918588873815,-0.76335699243428756
143,0.83699059561128508,0.77715877437325886,0.72477064220183474,-0.45454545454545525,-0.28205128205128205,-0.60919540229885061,-0.6166666666666667,-0.79647218453188595,-0.7558692769674753
144,0.92476489028213149,0.88300835654596055,0.86544342507645244,-0.59090909090909327,-0.46153846153846156,-0.60919540229885061,-0.2583333333333333,-0.44911804613297135,-0.7071991264331956
145,0.60501567398119138,0.88300835654596055,0.5902140672782874,-0.61688311688311781,0.10256410256410264,-0.60919540229885061,-0.18333333333333346,-0.55495251017639058,-0.72966227283363239
146,0.72413793103448287,0.86072423398328701,0.57186544342507628,-0.58441558441558528,-0.076923076923076872,-0.60919540229885061,-0.41666666666666663,-0.64993215739484389,-0.75961313470088143
147,0.73040752351097193,0.67130919220055674,0.77981651376146788,-0.66233766233765889,0.10256410256410264,-0.60919540229885061,0.10833333333333317,-0.55495251017639058,-0.71843069963341399
148,0.78683385579937304,0.69359331476323094,0.84709480122324132,-0.7597402597402565,-0.20512820512820518,-0.60919540229885061,-0.32500000000000007,-0.64993215739484389,-0.74463770376725691
149,0.88087774294670851,0.7715877437325902,0.81039755351681952,-0.75324675324675583,-0.25641025641025639,-0.60919540229885061,-0.35833333333333339,-0.64993215739484389,-0.72591841510022626
150,0.49216300940438851,0.7715877437325902,0.70030581039755346,-0.48051948051947979,0.20512820512820507,-0.60919540229885061,0.10833333333333317,-0.44911804613297135,-0.86818500896965922
151,0.72413793103448287,0.63788300835654588,0.66360856269113122,-0.59090909090909327,0.051282051282051322,-0.60919540229885061,-0.4916666666666667,-0.75033921302578022,-0.79330785430153661
152,0.48589341692789989,0.63788300835654588,0.76146788990825676,-0.53896103896103686,0.38461538461538458,-0.60919540229885061,-0.18333333333333346,-0.44911804613297135,-0.79705171203494274
153,0.49216300940438851,0.60445682451253457,0.70030581039755346,-0.59740259740259383,0.33333333333333326,-0.60919540229885061,-0.3666666666666667,-0.44911804613297135,-0.71843069963341399
154,0.45454545454545481,0.60445682451253457,0.50458715596330261,-0.58441558441558528,0.28205128205128216,-0.51724137931034497,0.016666666666666607,-0.60379918588873815,-0.88690429763668988
155,0.28526645768025083,0.20891364902506937,0.44954128440366947,-0.67532467532467488,0.76923076923076916,-0.63218390804597702,-0.32500000000000007,-0.75033921302578022,-0.85695343576944083
156,0.27272727272727271,0.20891364902506937,0.43730886850152895,-0.79220779220778892,0.76923076923076916,-0.72413793103448287,-0.34166666666666667,-0.60379918588873815,-0.84946572030262857
157,0.3793103448275863,0.24233983286908067,0.43730886850152895,-0.66233766233765889,0.64102564102564097,-0.7931034482758621,-0.58333333333333326,-0.75033921302578022,-0.6585289758989159
