T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
20,27.1,13.5,1016.4,74,2.7,6.5,11.1,52.375
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,75
19.7,27.6,12,1015.2,66,1.9,5.7,13,146
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,116.625
23.1,31.6,15.5,1015.4,61,1.9,6.3,16.5,163
26.4,34.4,16,1011.2,57,1.9,6.9,11.1,162
24.5,34.4,19.6,1013,62,2.3,9.1,16.5,63
21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2,80
21.5,29.2,15,1010.8,59,2.6,7.4,18.3,100
22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1,109
24.8,32.4,17.2,1007,64,1.8,3,7.6,103
23.2,27.6,17.6,1010.7,65,1,10.4,18.3,208
22.7,29.2,19,1011.6,76,1.9,9.8,22.2,74
24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1,110
25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1,108
23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4,103
24.6,33.1,18.6,1011.2,71,1.4,4.4,11.1,111.5
25.8,31.7,19,1011.3,61,1.8,8.3,16.5,98
24.3,30.7,17.5,1010,52,1.8,13.9,31.7,60
24.2,30.8,17,1008.2,48,1.9,13.1,22.2,74
24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9,101
26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8,106
25.1,35.2,18,1010.4,53,2.1,10.4,25.9,89
25.7,32.2,17.8,1010.2,51,1.9,10.6,20.6,71
27.4,35.1,19.6,1008.9,50,2.6,9.3,18.3,76
30.1,38,20,1007.4,49,2.6,6.7,18.3,113
27.2,38,21,1009.7,55,1.9,13,18.3,48
25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3,47
25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9,67
26.3,33.5,17.9,1010.8,36,2.6,12.4,29.4,65
28,35.6,17,1008.8,34,2.9,10,25.9,77
29.1,37.2,18.9,1006.9,46,1.9,5.2,11.1,114
27,37.2,22.6,1009.8,49,1.9,15.6,27.8,56
27.7,34.5,21.5,1010.6,55,1.9,5.2,13,79
29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1,123
26.9,34.2,19.8,1008.1,59,1.8,4.4,7.6,97
26.5,34.2,20.2,1006.9,57,1.9,9.3,22.2,77
24.9,31.6,18.5,1011.2,68,2.3,11.1,18.3,48
25.6,32.3,20,1011.4,64,1.9,5,14.8,80
26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1,137
28.1,35.8,18.6,1010,40,1.9,8.7,16.5,87
29.5,36,20.4,1011.9,37,2.7,12.4,27.8,61
29,36,21.6,1008.9,44,2.3,6.1,16.5,82
29.4,37.2,21.2,1006,42,2.6,8,22.2,139
30.5,38.8,20.6,1006,41,2.4,8.1,22.2,121
31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5,97
30.6,38.7,21.5,1007,36,1.9,8.3,18.3,92.08333333333333
31.4,39.5,21,1005.6,34,1.9,10.2,27.8,105
32.2,41,22.6,1003.9,34,2.6,8.3,25.9,119
33.4,42.1,22.8,1003.6,32,2.6,5.2,16.5,121
34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3,130
34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1,90
31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3,55
31.9,39.7,21.6,1003.2,40,1.9,5.9,9.4,79
30,39.7,25.6,1006,56,2.3,10.2,14.8,81
30.2,35.8,23.1,1006.9,57,1.9,7,14.8,73
31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6,108
32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5,198
30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8,120
30.1,37.6,23,1000.9,45,1.9,7.8,20.6,117
30.1,35.2,25,1003.8,49,1.9,7.2,13,86
28.2,35.3,24.2,1005,60,8.9,10.9,27.8,88
25.2,30.6,18,1008.2,71,2.6,10,20.6,60
26.9,32.1,19,1006.6,62,1.8,8.5,18.3,79
29.7,35.4,23,1004.1,48,1.8,11.1,16.5,133
31.1,36.7,25,1003.5,46,2.6,9.4,22.2,87
30,36.9,24.1,1007.1,54,2.6,7.2,18.3,107
32.4,39.1,24.4,1006.8,39,1.9,14.8,27.8,76
32.3,39.1,24,1006.6,36,2.3,11.7,24.1,53
31.9,38.8,26.5,1006,39,2.3,8.7,22.2,65
32.8,38.6,24.8,1002.3,40,1.9,9.6,18.3,83
33.3,40.6,24.2,999.6,39,2.6,11.1,27.8,86
34.5,43.6,25.8,1000,39,2.3,19.4,29.4,65
31.6,43.6,25.5,1004,55,2.6,6.7,14.8,44
32.4,40.6,23.2,1005.2,45,2.7,8.9,14.8,40
30,36.4,21.4,1007.2,60,2.6,4.1,14.8,48
31.8,38.8,24,1004.8,54,1.9,2.6,7.6,103
33.6,40.6,25.6,1001.3,47,2.6,3.9,13,119
35.3,43.7,26.3,999.2,43,2.7,4.4,11.1,124
33.9,43.7,29.1,999.4,48,1.8,7.8,14.8,143
34.6,42.8,25,999.6,46,1.8,6.3,18.3,143
32.9,41.6,25.6,1003,44,2.9,17.4,55.4,44
32.8,39.9,25,1003.3,48,2.6,4.6,14.8,71.95833333333333
34.8,41.7,26.5,1000,40,2.6,6.5,14.8,17.5
35.3,43.4,26,998,39,1.8,7.2,16.5,87
36.9,44.7,27.7,996.1,34,2.6,8.5,14.8,84
37.4,45,29.4,995.1,36,2.3,10.2,18.3,85.54166666666667
38.5,44.9,30.8,994,31,1.9,13.1,29.4,101
37.8,45.1,28.6,993.3,34,1.9,6.7,18.3,76
37.9,45.5,30.1,993.1,38,1.9,5.9,16.5,84.33333333333333
37.3,45.5,28.1,994.8,28,1.9,12,24.1,84
37.5,43.6,31.2,995.7,31,2.3,14.8,27.8,83
33,43.6,28.4,997.1,49,1.9,24.3,55.4,55
30.3,41.1,22.7,997.7,62,2.6,16.7,29.4,48
30.5,37.1,25.5,997.3,73,2.6,6.5,22.2,64.45833333333333
33.9,40.6,28,997,59,2.1,8.1,25.9,80.54166666666667
36.4,41.2,30.6,995.5,50,2.7,10.9,20.6,58.083333333333336
36.8,43.3,31.2,994.2,48,2.6,15.9,25.9,49.958333333333336
34.4,43.3,29.2,994.3,61,1.9,10.9,24.1,101.70833333333333
35.6,41.4,28.4,993.2,55,1.9,10.9,18.3,65.41666666666667
37.9,43,31,991.5,44,2.3,17.8,25.9,54.666666666666664
36.9,41.7,32.7,994,49,1.9,9.8,24.1,78
34.5,41.7,30.3,996.3,55,1.9,4.4,11.1,73
32.7,38.8,29.4,995.9,56,1.9,6.3,14.8,58
33.1,39,26.5,995.4,54,2.3,10.2,22.2,61
33.3,39,25.3,997.7,56,1.9,9.8,16.5,49
32.4,38.1,23.5,1000.8,66,1.9,3.3,7.6,65.875
34.7,39.9,28.8,1001.5,55,1.9,9.4,22.2,72.41666666666667
34.7,39.9,29,999.4,57,1.9,5.9,11.1,71
33.1,39.7,26,997.7,63,1.9,9.6,25.9,74
32.2,39.7,25.2,997.6,72,1.9,3.1,11.1,107.16666666666667
31.2,35.2,27,1000.9,71,1.9,6.3,11.1,184.66666666666666
29.5,36.6,25.5,1000.9,76,1.8,5.7,14.8,113.33333333333333
28.9,36.6,26.1,998.4,80,1.9,5.2,14.8,146.20833333333334
32.5,36.8,26,996.8,68,1.8,4.1,14.8,65.375
34,38.6,29,998.8,60,1.9,4.6,18.3,111.04166666666667
30.8,38.6,28.4,1000.4,66,1.9,4.3,20.6,111.125
34,38.8,26.8,998.1,55,1.9,5.6,14.8,112.29166666666667
34.9,40.3,28.6,996.8,48,1.9,9.6,25.9,60.625
35.9,40.5,29.6,996.3,46,1.9,13.7,27.8,71
36,41.3,30,996.8,46,1.9,11.3,27.8,57.041666666666664
36.7,42,30.1,996.2,45,2.7,8.9,22.2,67.41666666666667
36.4,42.3,30.5,996.1,54,1.9,4.3,9.4,132.70833333333334
33.3,42.3,29.2,997.8,69,1.9,5.2,9.4,153.41666666666666
32.4,40.2,25.9,997.2,74,1.9,6.7,14.8,134.95833333333334
33.2,39,28.5,996.2,68,1.9,8.9,11.1,81.125
32.6,39,27.9,997.2,70,1.9,10.4,13,197.66666666666666
30.8,36.8,26.4,995.9,77,1.9,6.7,14.8,160.75
27.3,36.8,24.6,994.9,88,1.9,2.6,11.1,29.125
29.8,33.6,25.4,995.1,76,1.9,6.3,18.3,52.25
30.8,34.6,26.5,996.6,74,1.9,6.3,14.8,160.375
32.1,35.8,27.2,996.1,71,1.9,4.6,9.4,99.375
31.7,36.3,29.4,997,75,1.9,7.2,29.4,123.875
30.7,34.1,28.2,997.8,77,1.9,8.1,16.5,131.41666666666666
30.7,34,27,998.7,70,1.9,12,20.6,53.875
30.7,33.9,26.5,1000.8,70,1.9,10,14.8,31
32.5,37.5,27.6,1001.9,67,1.9,7.2,18.3,47
31.7,37.5,28.1,1002.1,71,1.9,2.4,33.5,38
30.2,37.4,27.7,999.3,80,1.6,4.3,14.8,42
30.3,34.9,25.8,999.4,76,1.9,5.7,11.1,35
31.9,36.5,26.6,999.6,72,1.9,4.1,11.1,43
32.5,36.5,28.2,999.9,71,1.9,7.8,16.5,35
33.3,37.7,28.1,998,66,1.9,6.5,9.4,25.083333333333332
30.3,35.3,28.4,996.9,81,1.9,0.9,7.6,45
31.4,36.6,27,995.3,72,1.9,5.7,13,33
30.5,36.6,27.8,996.1,75,1.9,5.2,11.1,31
29.8,35.4,26.8,997.5,82,1.4,1.9,11.1,69
32.6,35.5,30,996.3,67,1.9,7.4,9.4,62
31,34,29,996.8,71,1.9,5.6,16.5,26
30.9,35,27.6,998.4,73,1.9,5.9,14.8,30
30.9,35.4,27,1000.3,75,1.9,4.8,16.5,29
28.8,32.5,27.6,1000.8,88,1.9,3.5,13,47
31,36,25,999.8,76,1.6,3,7.6,48
32.1,36.6,27.6,998.6,65,1.9,8.3,13,37.125
32,36.6,27,998.1,63,2.3,20.7,27.8,23
30.5,36.2,25.4,997.3,65,2.3,18.5,29.4,22
31.2,35.7,27.6,999,62,1.9,14.6,27.8,25
30.6,35.2,26.2,1002.9,67,1.9,6.9,18.3,32
31.3,36.3,25.8,1003.1,60,2.3,7.2,14.8,31
31.8,36.4,27,1005.3,63,1.9,5.6,13,56
33,37,27,1004.8,59,1.9,6.9,16.5,66
33.3,38.4,28,1002.5,54,1.9,8.9,18.3,64
32.6,38.4,28,1001.3,51,1.9,10.9,27.8,47
32.9,38.1,26.4,1002.5,54,2.3,8.5,22.2,48
33.1,38.2,27.5,1003.2,53,1.9,9.3,22.2,51
33.2,38.2,28,1003,53,2.7,11.3,25.9,43
33.7,39.1,27.5,1002.6,53,2.7,7.8,16.5,33.5
34.1,39.4,29,1001.5,49,3.1,10,18.3,43
34.1,39.4,27.5,1001.1,53,2.9,8,20.6,38
29.7,38.2,27.2,1003.9,73,2.3,6.7,35.2,29.166666666666668
30.4,37.2,26,1003.5,75,1.9,3.7,14.8,37.375
28.7,34.8,23.7,1002.5,82,1.9,4.3,14.8,60
27.5,34.8,25,1001,89,1.9,4.3,16.5,49
29.5,35.3,24.6,1001.1,71,2.3,10.9,48.2,19
29.4,35.3,26.3,1001.7,76,2.6,10.4,20.6,22
28.5,33.2,26,1001.3,82,1.9,15,25.9,24.291666666666668
27.8,33.2,25,1000.3,85,2.1,9.3,20.6,25
26.6,32.5,24.6,1000.1,89,1.9,8.3,25.9,23.416666666666668
28.6,32.2,23.6,1002.5,81,1.9,2,7.6,47
30.9,34.7,25.7,1003.5,73,1.9,1.3,5.4,74
31.2,36,26.4,1003.3,72,1.9,3.5,13,41
30.8,36,26.8,1002.5,76,1.9,1.9,11.1,50
28.7,36,26.6,1003.3,82,1.9,4.8,13,44
26.5,29.1,25.2,1005.7,89,1.1,3.5,13,66
28.5,33.6,23,1005.1,77,1.9,1.7,9.4,62
29.3,34.1,23.5,1004.1,73,1.8,4.3,11.1,58
29,34.8,24.6,1004.3,71,1.9,6.7,14.8,57
29.8,34.9,22.5,1004.2,68,2.6,6.7,18.3,38
30.6,34.9,26,1002.4,70,1.9,6.3,20.6,57
30.6,35.5,25.6,1002.1,67,2.7,7.4,18.3,50
30.5,35.7,25.2,1003.8,67,1.9,6.7,18.3,50
31,36.3,25.3,1003.5,62,3.1,4.3,14.8,47
31,36.3,26,1002.8,61,2.3,4.4,11.1,56
30.4,36.2,25.2,1003.6,61,2.6,5.6,14.8,54
30.6,36,25,1004.5,57,2.6,13.3,29.4,42
30.8,35.7,26,1004,54,3.7,11.1,25.9,41
29.6,36,24.4,1006.3,59,2.6,8.1,25.9,42.375
30,35.8,24.2,1007.7,58,2.6,9.6,18.3,45
30.1,35.7,24,1008.1,57,2.4,5.7,16.5,52
30.7,36.3,25.4,1009.2,54,3.1,8.9,16.5,43
30.4,36.3,25.1,1009.6,55,2.7,7.2,14.8,41
30.4,36.4,24.9,1009.1,55,2.9,7.4,18.3,44
30.6,37.2,24,1009.4,55,2.4,6.7,18.3,49
31,36.9,24.3,1010.1,54,3.1,3.1,11.1,41.958333333333336
30.9,37.2,24.5,1008.3,65,1.6,1.1,5.4,45.75
29.6,35.2,24.9,1009.9,59,1.9,3,20.6,70
27.6,34.6,22.2,1010,56,2.3,3.3,11.1,51
27,34.6,20.3,1008.7,62,1.9,3.1,14.8,66.75
25.7,34,19.8,1008.5,62,1.4,4.3,25.9,39.958333333333336
24.4,33.6,21.4,1011,75,1.9,5.4,14.8,11.583333333333334
24.5,30.4,19.6,1014.8,73,2.1,3.1,7.6,13
23.2,30.6,16.2,1014.1,62,2.6,4.8,18.3,7.875
24.9,31.6,15.6,1013.8,53,1.6,3.1,7.6,33.541666666666664
24.1,31.6,16.5,1012.8,60,1.6,2.6,11.1,151
23.8,31.5,16.5,1012.5,61,1.4,4.3,11.1,156
24.7,32.3,16.6,1013.3,60,1.8,4.4,14.8,156.0
25.4,33.3,18,1014.5,60,1.4,2,5.4,151.79166666666666
25.7,34.3,18,1014.5,67,1.1,0.4,3.5,181
25.3,34.3,18.2,1012.8,69,1,0.9,7.6,219.95833333333334
25.5,33.2,19,1011.8,72,1.3,1.9,7.6,231.0
25.4,33.1,18.6,1012.3,71,1,0.9,3.5,252
25.1,32.3,19.4,1014.9,69,1.4,2,9.4,119
24.9,32.6,19.5,1013.7,67,1.4,1.9,9.4,126
25,32.6,17.9,1011.9,69,1,2.6,9.4,172
24.9,31.7,19.8,1012.3,70,1.1,1.7,13,207
24,32.1,17.8,1012.2,64,1.1,1.9,7.6,230
23.2,32.1,16,1013.7,62,1,3.7,11.1,232
22.5,29.3,16.6,1014,57,1.3,5.4,11.1,215
22.7,31.1,15.8,1014.5,54,1.4,7.2,20.6,239
23.4,31.2,15,1013.4,58,1.1,4.1,14.8,196
23.7,31.8,16.8,1012.3,60,1.4,3.9,13,206
22.8,31.8,17,1012.6,62,1.1,4.6,14.8,235
23.2,30.6,16.4,1011.6,61,1.4,6.3,14.8,199
23.9,31.7,16.6,1012.9,69,1,2.4,11.1,232
24,32.1,17.1,1014.6,69,1.3,1.7,9.4,185
24.2,31.6,17.2,1015.3,62,1.1,4.3,11.1,282
21.3,29.5,14.6,1014,57,1.3,3.5,9.4,226
19.1,29.5,11.2,1014.8,58,1.1,2.2,13,222
19.4,28.5,10.9,1015.9,57,0.8,2.2,11.1,317
18.5,27.6,11.7,1016.6,56,1.3,3.3,11.1,257.6666666666667
18.3,27.6,9,1016.4,48,1.3,7.4,22.2,166
18.6,27.5,10.6,1014.8,51,1.3,2.8,11.1,135
18.3,27.6,9.4,1015.2,51,1.8,2.6,11.1,133
17.6,27.6,9.1,1016.2,56,1.4,2.8,14.8,175
17.7,28.1,8.6,1017.7,57,1.4,2,7.6,189
17.6,28.8,8.5,1016.6,59,1.3,1.1,9.4,211.45833333333334
18.4,28.8,11.7,1014.9,58,1.4,3.7,9.4,215
17.2,27.8,9.8,1014.1,64,1,2,11.1,223
17.6,27.6,8.8,1013.6,61,1.4,1.7,7.6,187.54166666666666
17,27.8,8.8,1014.8,59,1.1,1.5,11.1,198
16.8,27.8,8.5,1015.9,58,1.4,4.3,9.4,156
16.4,26.6,8,1015,57,1.3,2.6,14.8,135
17.4,26.7,9,1011.2,55,1.4,6.3,14.8,152
20.1,30,11.4,1013.8,47,1.8,8.9,22.2,46.708333333333336
20.1,29,13.8,1014.3,52,1.9,7.2,22.2,91
20.3,28.1,14,1013.6,52,1.9,9.3,22.2,99.91666666666667
19.8,32.5,12.6,1015.8,55,1.4,3.9,11.1,113
17.8,27.8,10,1017.3,62,1.4,2.6,13,166
18.3,27.5,10.6,1016.3,54,1.9,4.8,11.1,146
17.2,27.4,10.5,1014.9,52,1.6,4.8,14.8,119
17.1,26.3,10.2,1015.1,54,1.6,2.8,11.1,110
14.5,28.9,8.6,1017.6,49,2.1,4.6,22.2,161
13.3,23.8,6.6,1017.5,56,1.4,2.8,13,169
16.7,30.4,5.1,1016.9,56,1.3,0.6,3.5,216.79166666666666
15.8,22.3,10.4,1016.2,77,1,8.9,14.8,203
15,20.8,13.2,1016.8,93,1.1,3.5,9.4,25.083333333333332
14.2,20,10.4,1019.2,82,1.6,1.9,9.4,57.083333333333336
14,19.3,9,1021.4,80,1.1,4.6,9.4,152
12.9,19.6,9.2,1020.4,76,1,6.5,14.8,177
11.7,19.6,7.4,1021.4,82,0.6,3,11.1,239
11.7,17.6,7.4,1022.3,85,0.3,0.4,3.5,349
11.3,17.5,7.2,1018.8,81,0.8,5.7,13,188
9.5,17.5,5.6,1018.1,84,0.5,0.9,3.5,310
9.4,15.8,4.2,1017,89,0.3,1.3,3.5,375
9.6,16.3,6,1017.8,83,0.5,1.7,9.4,297
9.6,15.9,5,1021.2,86,0.3,3.5,9.4,441
9.3,16,6,1020,85,0.6,8.1,14.8,204.375
10.8,17,6.3,1017.7,82,0.8,7.8,11.1,223
10.4,19.2,4.8,1018.6,71,0.8,2.8,11.1,248
8.9,18.3,2.6,1019.9,88,0.2,0.7,5.4,441
11.1,21.2,4.8,1017.2,74,0.6,1.5,11.1,237
11.6,21.2,4.5,1014.8,74,0.6,2.6,9.4,334
